month,year,temp
6,1803,61.1258
7,1803,67.946
8,1803,66.434
9,1803,55.7834
10,1803,49.2512
11,1803,43.3256
12,1803,40.1468
1,1804,43.043
2,1804,36.3578
3,1804,41.8388
4,1804,47.5484
5,1804,59.612
6,1804,64.625
7,1804,63.9932
8,1804,63.3722
9,1804,61.2158
10,1804,51.2996
11,1804,43.475
12,1804,33.4922
1,1805,33.0746
2,1805,38.2298
3,1805,42.6596
4,1805,46.7402
5,1805,53.3876
6,1805,58.7948
7,1805,62.4992
8,1805,63.4604
9,1805,60.206
10,1805,46.8428
11,1805,38.0408
12,1805,36.4406
1,1806,40.8056
2,1806,41.9954
3,1806,43.2644
4,1806,45.0464
5,1806,60.1322
6,1806,62.7314
7,1806,64.7402
8,1806,64.139
9,1806,59.7434
10,1806,50.4626
11,1806,46.5944
12,1806,45.5018
1,1807,35.1932
2,1807,40.8128
3,1807,37.4414
4,1807,47.1722
5,1807,59.1872
6,1807,60.5408
7,1807,68.7146
8,1807,69.4922
9,1807,55.85
10,1807,53.5208
11,1807,42.1736
12,1807,35.1626
1,1808,35.4668
2,1808,35.708
3,1808,37.3838
4,1808,44.5226
5,1808,61.3634
6,1808,59.9018
7,1808,69.0638
8,1808,66.0668
9,1808,57.6194
10,1808,46.5026
11,1808,43.3904
12,1808,32.6678
1,1809,37.5872
2,1809,44.7152
3,1809,43.9664
4,1809,42.7478
5,1809,58.3898
6,1809,59.6624
7,1809,63.0212
8,1809,63.4136
9,1809,56.8832
10,1809,48.0812
11,1809,39.6374
12,1809,39.7994
1,1810,30.3764
2,1810,35.1932
3,1810,45.7286
4,1810,48.3962
5,1810,54.7556
6,1810,60.3734
7,1810,62.7818
8,1810,63.2624
9,1810,61.3076
10,1810,50.6174
11,1810,44.3948
12,1810,40.0982
1,1811,30.8408
2,1811,42.4076
3,1811,46.6664
4,1811,52.0916
5,1811,60.9404
6,1811,63.5594
7,1811,66.2288
8,1811,63.0482
9,1811,59.684
10,1811,55.6322
11,1811,45.896
12,1811,38.1902
1,1812,32.9018
2,1812,42.143
3,1812,41.2808
4,1812,44.582
5,1812,58.2926
6,1812,60.9026
7,1812,63.0788
8,1812,63.1346
9,1812,58.0514
10,1812,51.368
11,1812,39.3242
12,1812,31.0658
1,1813,32.7326
2,1813,41.5634
3,1813,42.3284
4,1813,49.8794
5,1813,58.3916
6,1813,59.6876
7,1813,62.3894
8,1813,62.5586
9,1813,56.8508
10,1813,50.234
11,1813,41.6318
12,1813,36.7574
1,1814,29.6834
2,1814,32.117
3,1814,38.1848
4,1814,50.4212
5,1814,53.7674
6,1814,60.1988
7,1814,66.1694
8,1814,63.1166
9,1814,57.1874
10,1814,47.831
11,1814,43.3112
12,1814,41.1494
1,1815,30.7418
2,1815,42.08
3,1815,46.7402
4,1815,49.0982
5,1815,58.6598
6,1815,61.3094
7,1815,63.8294
8,1815,63.6476
9,1815,58.7768
10,1815,51.2294
11,1815,39.6608
12,1815,35.4992
1,1816,36.7106
2,1816,35.465
3,1816,41.0378
4,1816,48.2972
5,1816,54.0986
6,1816,58.0136
7,1816,60.0368
8,1816,59.7326
9,1816,56.2424
10,1816,50.6786
11,1816,38.6042
12,1816,37.1984
1,1817,40.7642
2,1817,44.0672
3,1817,42.818
4,1817,43.8746
5,1817,53.3948
6,1817,64.238
7,1817,62.6972
8,1817,61.3994
9,1817,60.9764
